관서명,주소,홈페이지,위도,경도
대구동부경찰서,대구 동구 반야월북로 209 ,"
https://www.dgpolice.go.kr/dongbu/index.do
",35.8743160411909,128.720642764913
대구북부경찰서,대구 북구 원대로 100 ,"
https://www.dgpolice.go.kr/bukbu
",35.8864510304765,128.582647145181
대구서부경찰서,대구 서구 국채보상로 249 ,"
https://www.dgpolice.go.kr/seobu
",35.8718283227378,128.558454561807
대구수성경찰서,대구 수성구 달구벌대로 2460 ,"
https://www.dgpolice.go.kr/suseong
",35.8582712324118,128.6316214347
대구중부경찰서,대구 중구 경상감영길 55 ,"
https://www.dgpolice.go.kr/jungbu
",35.8718805409702,128.590464193003
대구성서경찰서,대구 달서구 달구벌대로259길 15 ,"
https://www.dgpolice.go.kr/seongseo
",35.8532188763936,128.508774138659
대구강북경찰서,대구 북구 동암로 130  ,"
https://www.dgpolice.go.kr/gangbuk
",35.9434804866511,128.56513921353
인천광역시경찰청,인천 남동구 예술로152번길 9 ,"
https://www.icpolice.go.kr
",37.4491535947409,126.701258988886
인천강화경찰서,인천 강화군 강화읍 동문안길 17,"
https://www.icpolice.go.kr/police.php?dcode=gw
",37.7479316396522,126.486486864111
인천계양경찰서,인천 계양구 계산새로 68,"
https://www.icpolice.go.kr/police.php?dcode=gy
",37.5375960906488,126.735747338651
인천남동경찰서,인천 남동구 남동대로 668 ,"
https://www.icpolice.go.kr/police.php?dcode=nd
",37.4423907791101,126.707415922525
인천미추홀경찰서,인천 미추홀구 매소홀로290번길 32,"
https://www.icpolice.go.kr/police.php?dcode=nb
",37.442703889031,126.653373002239
인천부평경찰서,인천 부평구 길주로 511 ,"
https://www.icpolice.go.kr/police.php?dcode=bp
",37.5078526389529,126.719342962375
인천서부경찰서,인천 서구 탁옥로 77,"
https://www.icpolice.go.kr/police.php?dcode=sb
",37.5445648633075,126.678334395063
인천연수경찰서,인천 연수구 원인재로 138,"
https://www.icpolice.go.kr/police.php?dcode=ys
",37.4101684311396,126.681375263397
인천중부경찰서,인천 중구 제물량로 237 ,"
https://www.icpolice.go.kr/police.php?dcode=jb
",37.4729606557754,126.618043205101
인천삼산경찰서,인천 부평구 굴포로 104 ,"
https://www.icpolice.go.kr/police.php?dcode=ss
",37.5110124805355,126.732240699017
인천논현경찰서,인천 남동구 논현고잔로 239,"
https://www.icpolice.go.kr/police.php?dcode=nh
",37.4040774354874,126.715038754344
인천국제공항경찰단,인천 중구 공항로 272,"
https://www.icpolice.go.kr/police.php?dcode=gh
",37.458350712273,126.427699293474
광주광역시경찰청,광주 광산구 용아로 112,"
https://www.gjpolice.go.kr
",35.1536590510907,126.800575520278
광주광산경찰서,광주 광산구 어등대로 551,"
https://www.gjpolice.go.kr/gs
",35.152794673652,126.782766508945
광주남부경찰서,광주 남구 용대로74번안길 9-5,"
https://www.gjpolice.go.kr/nb
",35.1234334185393,126.921731749821
광주동부경찰서,광주 동구 예술길 33,"
https://www.gjpolice.go.kr/db
",35.14938330874,126.920232293747
